sequence,id,r,theta,phi,acc_x,acc_y,acc_z,abs_a,g_x,g_y,g_z,abs_g,delta_r,delta_theta,delta_phi,delta_acc_x,delta_acc_y,delta_acc_z,delta_abs_acc,delta_g_x,delta_g_y,delta_g_z,delta_abs_g,label
141,17000000,1265.561,28.328,4.106,-1998,1997,-1045,3011.982,101570,-1330,-624750,34624,-1746.421,-81.972,-130.908,-3996,1556,-1486,152.177,228480,-168070,-773500,-5506,swipe left
145,18000000,961.549,6.691,-178.465,-246,4,1007,1036.619,-770,-3290,-5390,6361,-75.07,-7.038,-357.533,-45,-6,997,49.879,1260,1890,-6230,735,swipe left
146,18000000,3251.604,58.126,43.65,-112,-3,955,961.549,6440,-6440,-18760,20853,2290.055,51.435,222.115,134,-7,951,-75.07,7210,-3150,-13370,14492,swipe left
147,18000000,2743.197,47.564,9.294,1998,1906,1717,3251.604,-235830,255640,436030,43036,-508.407,-10.562,-34.356,2110,1909,1720,2290.055,-242270,262080,454790,22183,swipe left
148,18000000,927.185,7.137,166.446,1998,327,1851,2743.197,171570,161280,-491470,25249,-1816.012,-40.427,157.152,0,-1579,-55,-508.407,407400,-94360,-927500,-17787,swipe left
153,19000000,1026.741,12.603,163.668,-416,25,933,1021.846,5530,-25060,7000,26600,4.895,-11.466,-12.892,-252,-1,907,-33.301,980,-20930,12320,18473,swipe left
154,19000000,2370.623,57.949,83.656,-215,63,1002,1026.741,7630,10780,-36050,38393,1343.882,45.346,-80.012,201,38,977,4.895,2100,35840,-43050,11793,swipe left
155,19000000,2830.889,45.106,4.948,222,1997,1258,2370.623,-113680,-89530,613550,47385,460.266,-12.843,-78.708,437,1934,1195,1343.882,-121310,-100310,649600,8992,swipe left
156,19000000,1124.1,34.265,175.559,1998,173,1998,2830.889,118580,133070,-288470,57572,-1706.789,-10.841,170.611,1776,-1824,1,460.266,232260,222600,-902020,10187,swipe left
161,10000000,959.126,15.329,-176.155,-103,-47,1019,1025.27,490,-2590,490,2681,-66.144,8.99,-20.683,-5,2,1068,15.31,0,3640,70,-3582,swipe left
162,10000000,1845.363,64.618,9.982,-253,-17,925,959.126,8960,-12600,-13090,20258,886.237,49.289,186.137,-150,30,972,-66.144,8470,-10010,-13580,17577,swipe left
163,10000000,2192.262,65.732,-1.347,1642,289,791,1845.363,-45850,-10430,329630,59099,346.899,1.114,-11.329,1895,306,808,886.237,-54810,2170,342720,38841,swipe left
164,10000000,1049.758,11.134,151.412,1998,-47,901,2192.262,52150,84910,-296170,56184,-1142.504,-54.598,152.759,356,-336,612,346.899,98000,95340,-625800,-2915,swipe left
169,11000000,1015.815,7.554,174.844,-90,3,987,991.099,140,-3780,-1890,4228,24.716,2.341,-3.246,33,0,984,-29.345,2240,-770,-1540,542,swipe left
170,11000000,2575.128,51.016,3.494,-133,12,1007,1015.815,-1750,-4340,-5250,7032,1559.313,43.462,-171.35,-43,9,1004,24.716,-1890,-560,-3360,2804,swipe left
171,11000000,2445.741,57.669,14.802,1998,122,1620,2575.128,-106820,-59570,354620,57231,-129.387,6.653,11.308,2131,110,1608,1559.313,-105070,-55230,359870,50199,swipe left
172,11000000,1026.696,6.038,143.66,1998,528,1308,2445.741,120400,107450,-495670,33874,-1419.045,-51.631,128.858,0,406,1186,-129.387,227220,167020,-850290,-23357,swipe left
177,12000000,993.887,12.587,-175.763,-163,-26,995,1008.598,-700,-3360,-2310,4137,-14.711,3.168,-4.826,40,-2,1019,8.486,1400,1680,-490,-1618,swipe left
178,12000000,2827.937,45.047,-3.294,-216,-16,970,993.887,2170,-4620,-3080,5961,1834.05,32.46,172.469,-53,10,996,-14.711,2870,-1260,-770,1824,swipe left
179,12000000,2146.27,106.651,135.118,1998,-115,1998,2827.937,-36750,61880,101780,51516,-681.667,61.604,138.412,2214,-99,2014,1834.05,-38920,66500,104860,45555,swipe left
180,12000000,1016.498,14.07,149.076,-1457,1451,-615,2146.27,-20440,5950,-445270,33912,-1129.772,-92.581,13.958,-3455,1566,-500,-681.667,16310,-55930,-547050,-17604,swipe left
185,13000000,1257.755,22.501,-17.531,-149,-8,1010,1020.962,-700,-3290,1750,3791,236.793,14.098,159.395,-39,8,1026,7.846,-3080,-1120,3920,-92,swipe left
186,13000000,1753.031,59.981,129.573,459,-145,1162,1257.755,9800,8260,-13020,18269,495.276,37.48,147.104,608,-137,1170,236.793,10500,11550,-14770,14478,swipe left
187,13000000,2846.341,45.416,-9.741,-967,1170,877,1753.031,-93730,-58100,370790,60143,1093.31,-14.565,-139.314,-1426,1315,1022,495.276,-103530,-66360,383810,41874,swipe left
188,13000000,1011.622,33.763,174.897,1998,-343,1998,2846.341,69720,55090,-130480,58702,-1834.719,-11.653,184.638,2965,-1513,828,1093.31,163450,113190,-501270,-1441,swipe left
193,14000000,968.516,6.118,144.462,-146,-10,989,999.768,3360,8750,-10990,14444,-31.252,-2.298,320.543,-1,-2,997,-31.507,4130,10850,-6930,9809,swipe left
194,14000000,1758.493,60.272,96.58,-84,60,963,968.516,48370,64680,-89110,39734,789.977,54.154,-47.882,62,70,973,-31.252,45010,55930,-78120,25290,swipe left
195,14000000,2825.613,45,0.258,-175,1517,872,1758.493,-120260,-111650,498330,19572,1067.12,-15.272,-96.322,-91,1457,812,789.977,-168630,-176330,587440,-20162,swipe left
196,14000000,952.509,31.401,-178.037,1998,-9,1998,2825.613,107660,91840,-249060,21254,-1873.104,-13.599,-178.295,2173,-1526,481,1067.12,227920,203490,-747390,1682,swipe left
201,15000000,1514.773,37.484,-10.627,-162,-18,1007,1020.106,1120,-6160,1260,6386,494.667,28.29,163.032,-38,-3,1022,13.328,420,-2030,6440,-275,swipe left
202,15000000,2885.031,78.28,135.014,906,-170,1202,1514.773,12180,19600,-22610,32306,1370.258,40.796,145.641,1068,-152,1220,494.667,11060,25760,-23870,25920,swipe left
203,15000000,2820.037,44.886,-2.649,-1998,1997,586,2885.031,-117250,-169330,497630,47885,-64.994,-33.394,-137.663,-2904,2167,756,1370.258,-129430,-188930,520240,15579,swipe left
204,15000000,885.314,19.603,179.228,1988,-92,1998,2820.037,67550,45570,-126350,33602,-1934.723,-25.283,181.877,3986,-2089,1,-64.994,184800,214900,-623980,-14283,swipe left
209,16000000,1068.416,10.359,177.912,-121,-25,991,998.672,9380,-14630,-1610,17453,69.744,3.253,346.238,-73,-5,1011,11.302,18200,-9450,-5390,6549,swipe left
210,16000000,2836.028,45.21,-6.934,-192,7,1051,1068.416,12670,-7350,6300,15944,1767.612,34.851,-184.846,-71,32,1076,69.744,3290,7280,7910,-1509,swipe left
211,16000000,2825.446,88.864,135.014,1998,-243,1998,2836.028,-38080,73500,140980,30949,-10.582,43.654,141.948,2190,-250,1991,1767.612,-50750,80850,134680,15005,swipe left
212,16000000,1359.757,9.527,22.463,-1998,1997,56,2825.446,2870,43470,-269850,41260,-1465.689,-79.337,-112.551,-3996,2240,299,-10.582,40950,-30030,-410830,10311,swipe left
217,17000000,1000.664,5.534,-169.854,-108,-8,981,986.959,-2310,-5180,-7000,9009,13.705,-0.765,5.909,41,-3,986,-32.995,420,2520,-5950,773,swipe left
218,17000000,2832.953,45.148,-5.829,-95,-17,996,1000.664,910,-7770,6860,10404,1832.289,39.614,164.025,13,-9,1004,13.705,3220,-2590,13860,1395,swipe left
219,17000000,2879.088,78.865,135.014,1998,-204,1998,2832.953,16450,117040,50610,60377,46.135,33.717,140.843,2093,-187,2015,1832.289,15540,124810,43750,49973,swipe left
220,17000000,1678.386,21.275,0.188,-1998,1997,556,2879.088,-35980,15540,-382200,39799,-1200.702,-57.59,-134.826,-3996,2201,760,46.135,-52430,-101500,-432810,-20578,swipe left
225,18000000,1024.656,7.008,-172.647,-80,-22,1011,1014.398,2590,-2870,-4690,6077,10.258,2.317,-8.024,22,7,1040,-7.12,1330,-1330,-2660,3235,swipe left
226,18000000,2541.751,52.423,-7.76,-124,-16,1017,1024.656,2730,-1750,-9590,10123,1517.095,45.415,164.887,-44,6,1039,10.258,140,1120,-4900,4046,swipe left
227,18000000,2995.667,70.56,135.014,1996,-272,1550,2541.751,-2450,15750,21700,26924,453.916,18.137,142.774,2120,-256,1566,1517.095,-5180,17500,31290,16801,swipe left
228,18000000,1461.307,26.215,-5.065,-1998,1997,997,2995.667,-32340,50610,-354620,22662,-1534.36,-44.345,-140.079,-3994,2269,1269,453.916,-29890,34860,-376320,-4262,swipe left
233,19000000,1014.46,5.947,177.273,-189,10,988,1005.964,-4060,-2730,-6020,7757,8.496,-4.897,0.302,-46,8,986,13.605,-3920,-1330,-1820,3328,swipe left
234,19000000,2826.788,45.024,-2.35,-105,5,1009,1014.46,980,-490,-10920,10974,1812.328,39.077,-179.623,84,-5,999,8.496,5040,2240,-4900,3217,swipe left
235,19000000,2831.408,93.888,135.014,1998,-82,1998,2826.788,-41230,46340,105630,46044,4.62,48.864,137.364,2103,-87,1993,1812.328,-42210,46830,116550,35070,swipe left
236,19000000,1508.97,33.795,-10.225,-1998,1997,-192,2831.408,80220,53200,-341180,33395,-1322.438,-60.093,-145.239,-3996,2079,-110,4.62,121450,6860,-446810,-12649,swipe left
241,10000000,1136.407,3.729,-23.096,68,-29,1134,1136.407,26950,21280,-50610,61159,148.147,-6.353,-190.746,237,-66,1097,148.147,28560,23450,-49280,58148,swipe left
242,10000000,3007.153,69.949,135.014,-1998,1997,1031,3007.153,-97720,-67550,413140,10642,1870.746,66.22,158.11,-2066,2026,1060,1870.746,-124670,-88830,463750,-50517,swipe left
243,10000000,2511.294,39.276,-6.682,1579,-185,1944,2511.294,56980,12040,-79660,33874,-495.859,-30.673,-141.696,3577,-2182,-53,-495.859,154700,79590,-492800,23232,swipe left
244,10000000,914.576,24.383,167.767,-369,80,833,914.576,7070,-6580,-13510,16607,-1596.718,-14.893,174.449,-1948,265,1018,-1596.718,-49910,-18620,66150,-17267,swipe left
249,11000000,1001.419,21.302,166.001,-353,88,933,1001.419,-980,630,3500,3688,-1.923,10.034,4.436,-167,26,871,-1.923,140,1820,10150,-3159,swipe left
250,11000000,2842.179,83.677,135.014,-1998,1997,313,2842.179,-135100,-115920,635320,39105,1840.76,62.375,-30.987,-1645,1909,225,1840.76,-134120,-116550,631820,35417,swipe left
251,11000000,2739.302,47.234,-6.768,1997,-237,1860,2739.302,44520,44940,-155750,49898,-102.877,-36.443,-141.782,3995,-2234,-137,-102.877,179620,160860,-791070,10793,swipe left
252,11000000,885.036,18.356,163.32,-267,80,840,885.036,12040,2240,-16940,20903,-1854.266,-28.878,170.088,-2264,317,1077,-1854.266,-32480,-42700,138810,-28995,swipe left
257,12000000,993.312,12.166,161.045,-198,68,971,993.312,-3710,-4970,-2800,6804,-4.976,2.808,7.768,-53,-5,898,-4.976,1400,3220,2030,-3990,swipe left
258,12000000,2827.313,45.034,3.353,1997,117,1998,2827.313,-43330,171920,255920,49393,1834.001,32.868,-157.692,2195,49,1930,1834.001,-39620,176890,258720,42589,swipe left
259,12000000,1408.812,97.873,86.549,84,1393,-193,1408.812,155890,125020,-566370,64995,-1418.501,52.839,83.196,-1913,1276,-310,-1418.501,199220,-46900,-822290,15602,swipe left
260,12000000,1247.534,25.607,150.439,-469,266,1125,1247.534,-20300,-42700,81830,18482,-161.278,-72.266,63.89,-553,-1127,-268,-161.278,-176190,-167720,648200,-46513,swipe left
265,13000000,1035.538,8.561,157.094,-142,60,1024,1035.538,9310,-7140,-18130,21595,45.619,0.444,-3.693,-10,14,978,45.619,6580,-1540,-9940,11305,swipe left
266,13000000,2731.24,56.737,29.022,1997,1108,1498,2731.24,-95970,-36960,450590,56162,1695.702,48.176,-128.072,2139,1048,1438,1695.702,-105280,-29820,468720,34567,swipe left
267,13000000,2825.913,45.006,2.179,1997,76,1998,2825.913,161140,157920,-398440,59167,94.673,-11.731,-26.843,0,-1032,890,94.673,257110,194880,-849030,3005,swipe left
268,13000000,1192.18,46.608,164.054,-833,238,819,1192.18,-22400,-9100,44100,50292,-1633.733,1.602,161.875,-2830,162,743,-1633.733,-183540,-167020,442540,-8875,swipe left
273,14000000,1016.221,14.466,158.994,-237,91,984,1016.221,11550,-11900,-100520,42300,27.779,5.74,-14.497,-88,74,967,27.779,15680,-5880,-101220,34967,swipe left
274,14000000,3403.294,56.103,135.014,-1998,1997,1898,3403.294,-19950,-202860,486290,56126,2387.073,41.637,-23.98,-1761,1906,1807,2387.073,-31500,-190960,586810,13826,swipe left
275,14000000,2476.344,52.979,-7.556,1960,-260,1491,2476.344,-25270,-46760,-8680,53855,-926.95,-3.124,-142.57,3958,-2257,-506,-926.95,-5320,156100,-494970,-2271,swipe left
276,14000000,841.819,11.809,-176.672,-172,-10,824,841.819,-1330,13020,-15540,20317,-1634.525,-41.17,-169.116,-2132,250,1084,-1634.525,23940,59780,-6860,-33538,swipe left
281,15000000,926.156,16.062,153.334,-229,115,890,926.156,32130,22260,-120820,56924,-54.901,15.442,194.519,-237,122,897,-54.901,30730,20790,-112980,48826,swipe left
282,15000000,2853.07,81.94,135.014,-1998,1997,400,2853.07,-121240,-93310,394380,53364,1926.914,65.878,-18.32,-1769,1882,285,1926.914,-153370,-115570,515200,-3560,swipe left
283,15000000,1597.917,28.595,8.193,757,109,1403,1597.917,-36400,350,61320,28111,-1255.153,-53.345,-126.821,2755,-1888,-594,-1255.153,84840,93660,-333060,-25253,swipe left
284,15000000,970.893,17.094,-176.987,-285,-15,928,970.893,-140,-7630,910,7685,-627.024,-11.501,-185.18,-1042,-124,819,-627.024,36260,-7980,-60410,-20426,swipe left
289,16000000,1097.144,36.054,166.932,-629,146,887,1097.144,24570,13020,-37240,46476,128.685,32.908,178.876,-681,157,898,128.685,28140,13300,-33740,41469,swipe left
290,16000000,3378.405,56.736,135.014,-1998,1997,1853,3378.405,-63840,-150150,713160,51398,2281.261,20.682,-31.918,-1369,1851,1707,2281.261,-88410,-163170,750400,4922,swipe left
291,16000000,2832.104,45.131,-5.775,1997,-202,1998,2832.104,43120,20090,-91840,45908,-546.301,-11.605,-140.789,3995,-2199,1,-546.301,106960,170240,-805000,-5490,swipe left
292,16000000,727.419,19.189,178.322,-239,7,687,727.419,-18550,7350,-18410,27148,-2104.685,-25.942,184.097,-2236,209,889,-2104.685,-61670,-12740,73430,-18760,swipe left
297,17000000,940.485,11.378,146.652,-155,102,922,940.485,5530,-1190,-24990,25622,-78.214,0.99,-10.272,14,30,850,-78.214,3640,3150,-13930,13592,swipe left
